day,school
1,N/A
2,SYEP LPA BECA
3,SYEP LPA BECA
4,SYEP LPA BECA CSH DREAM
5,SYEP
6,SYEP CSH DREAM
7,SYEP LPA BECA CSH DREAM
8,SYEP LPA BECA CSH DREAM
9,SYEP LPA BECA CSH DREAM
10,SYEP
11,SYEP CSH DREAM FIHS WHEELS
12,SYEP LPA BECA CSH DREAM FIHS WHEELS
13,SYEP LPA BECA CSH DREAM FIHS WHEELS
14,SYEP LPA BECA CSH DREAM FIHS WHEELS
15,SYEP WHEELS
16,SYEP CSH DREAM FIHS WHEELS ICHS
17,SYEP LPA BECA CSH DREAM FIHS WHEELS ICHS
18,SYEP LPA BECA CSH DREAM FIHS WHEELS ICHS
19,SYEP LPA BECA CSH DREAM FIHS WHEELS ICHS
20,SYEP WHEELS
